pruid,prname,prnameFR,latitude,longitude,population
62,Nunavut,Nunavut,70.2998,-83.1076,39367
47,Saskatchewan,Saskatchewan,52.9399,-106.4509,1183377
11,Prince Edward Island,Terre-Neuve-et-Labrador,46.5107,-63.4168,158619
35,Ontario,Ontario,50,-85,14783191
12,Nova Scotia,Nouvelle-Ecosse,44.682,-63.7443,980767
48,Alberta,Alberta,53.9333,116.5765,4437827
59,British Columbia,Colombie-Britannique,53.726669,-127.647621,5134969
46,Manitoba,Manitoba,53.76086,-98.813873,1380810
10,Newfoundland and Labrador,,53.135509,-57.660435,520581
13,New Brunswick,Nouveau-Brunswick,46.49839,-66.159668,780679
24,Quebec,QuEbec,53,-70,8570197
60,Yukon,Yukon,64.2823,-135,41101
61,Northwest Territories,Territoires du Nord-Ouest,64.8255,-124.8457,44831
1,Canada,Canada,56.1304,106.3468,38056261
99,Repatriated travellers,,0,0,0


